"","mse","info","sd","r.wj.1","r.wj.2","r.wj.3","min.wj","max.wj","mean.wj","listnum"
"205",0.0140737254965761,7.07038485990544,4.83059951902353,0.833781368216098,0.858684054903347,0.844519109002628,0.833781368216098,0.858684054903347,0.845661510707358,"14"
"206",0.0141063656581693,7.07292561608337,4.79128316759809,0.840993316221863,0.844803863010501,0.858756183979046,0.840993316221863,0.858756183979046,0.848184454403804,"208"
"207",0.0141172687880789,7.07251804876284,4.80557404412488,0.85001893476755,0.833886959612495,0.844122945185167,0.833886959612495,0.85001893476755,0.84267627985507,"109"
"208",0.0142127461896492,7.07159917331685,4.77223427217863,0.849123196984987,0.850532641272064,0.839431037092465,0.839431037092465,0.850532641272064,0.846362291783172,"240"
"209",0.0142201163822616,7.07060401996199,4.7663591866515,0.847663822368153,0.856344704399968,0.850349314251472,0.847663822368153,0.856344704399968,0.851452613673198,"81"
"210",0.0142385812813176,7.07410485140114,4.77930195797617,0.85655367319224,0.8619608584767,0.862805233803517,0.85655367319224,0.862805233803517,0.860439921824152,"29"
"211",0.0142642278740941,7.07024732967061,4.80766408759491,0.86587433187262,0.864191556947516,0.863196019312802,0.863196019312802,0.86587433187262,0.864420636044313,"176"
"212",0.0143395056859111,7.07345601651431,4.91648457132043,0.850712696231382,0.838179685216798,0.851984824329713,0.838179685216798,0.851984824329713,0.846959068592631,"199"
"213",0.0143524381479485,7.07613928490693,4.82865148528416,0.830990988603331,0.826302303638403,0.862514950233204,0.826302303638403,0.862514950233204,0.83993608082498,"220"
"214",0.0143631152938079,7.05976059821763,4.64631891234149,0.853745567046814,0.850153350077223,0.840487959346293,0.840487959346293,0.853745567046814,0.848128958823443,"8"
"215",0.0143838648468332,7.07049357935853,4.70216383480343,0.851904415749924,0.839527527634741,0.858258664554666,0.839527527634741,0.858258664554666,0.84989686931311,"147"
"216",0.0143957722877514,7.07329077572227,4.80620189480967,0.844541466988939,0.834160734291259,0.852359634700339,0.834160734291259,0.852359634700339,0.843687278660179,"223"
"217",0.0145175207612367,7.06609141651426,4.67235272386253,0.861330203555296,0.844015899659526,0.83531661204781,0.83531661204781,0.861330203555296,0.846887571754211,"51"
"218",0.0145862311978271,7.07044250802908,4.71310969604886,0.825752556746298,0.859623898616831,0.853146992730475,0.825752556746298,0.859623898616831,0.846174482697868,"155"
"219",0.014646731192666,7.07385248359503,4.76265739645691,0.860965405923124,0.853487158659643,0.857839054657394,0.853487158659643,0.860965405923124,0.85743053974672,"33"
"220",0.0146485269075669,7.06578753974274,4.6357317239312,0.858296834020819,0.841889385082469,0.855004707674073,0.841889385082469,0.858296834020819,0.851730308925787,"219"
"221",0.0147043474647728,7.07150008189088,4.75266502343239,0.851645945492287,0.844739417891274,0.855212298994493,0.844739417891274,0.855212298994493,0.850532554126018,"225"
"222",0.0147552250052873,7.06994618079568,4.77673356245354,0.844893713679753,0.83993698697048,0.861494353584151,0.83993698697048,0.861494353584151,0.848775018078128,"159"
"223",0.0147983219099802,7.07565592525482,4.8252274820448,0.84828194312806,0.853428773124792,0.868460749827297,0.84828194312806,0.868460749827297,0.856723822026716,"31"
"224",0.014901594819205,7.06900761908206,4.78297569009196,0.852487395993435,0.831193432354829,0.850117969151791,0.831193432354829,0.852487395993435,0.844599599166685,"138"
"225",0.0149602912900721,7.06899042559733,4.74136068076383,0.854595347781423,0.848924343323783,0.847790426610697,0.847790426610697,0.854595347781423,0.850436705905301,"198"
"226",0.0150903021841352,7.0697730071532,4.78562431855216,0.860126946124103,0.859424145285996,0.856382055921524,0.856382055921524,0.860126946124103,0.858644382443874,"42"
"227",0.0151360547071295,7.0755907302606,4.92710637421324,0.84382664666542,0.852806125812738,0.855491494753507,0.84382664666542,0.855491494753507,0.850708089077222,"246"
"228",0.0152176411959771,7.06933845424265,4.83509414124514,0.850413189201507,0.851492997661463,0.844489833522363,0.844489833522363,0.851492997661463,0.848798673461777,"134"
"229",0.0153592946406408,7.07438020002593,4.86867735747375,0.850430483411355,0.843468894533376,0.849963101614849,0.843468894533376,0.850430483411355,0.847954159853193,"162"
"230",0.0157984663573942,7.06638908006804,4.7948443227773,0.836334658819215,0.853296306306042,0.852304786895309,0.836334658819215,0.853296306306042,0.847311917340189,"146"
"231",0.0158232488366407,7.07267398694239,4.76993534936125,0.845858540096573,0.848860795541974,0.85620136717792,0.845858540096573,0.85620136717792,0.850306900938823,"239"
